"","SAMPLE","GROUP","GENE","SEQ_COUNT","COPY_COUNT","SEQ_FREQ","COPY_FREQ"
"988","RA_IMM9","RA_IMM","IGHV12-3",15,18,0.001220703125,0.00087527352297593
"989","CS_CTRL14","CS_CTRL","IGHV1-39",17,17,0.00615273253709736,0.00435227854582693
"990","CS_CTRL14","CS_CTRL","IGHV1-84",13,17,0.00470503076366269,0.00435227854582693
"991","CS_CTRL15","CS_CTRL","IGHV1-18",15,17,0.00704225352112676,0.00363092695429304
"992","CS_CTRL15","CS_CTRL","IGHV1-53",15,17,0.00704225352112676,0.00363092695429304
"993","CS_CTRL15","CS_CTRL","IGHV6-7",16,17,0.00751173708920188,0.00363092695429304
"994","CS_IMM17","CS_IMM","IGHV14-2",13,17,0.00276890308839191,0.00178721614802355
"995","CS_IMM18","CS_IMM","IGHV9-4",16,17,0.00670578373847443,0.00517346317711503
"996","CS_IMM21","CS_IMM","IGHV1-62-2",16,17,0.0027294438758103,0.00188198826524964
"997","CS_IMM23","CS_IMM","IGHV1-34",17,17,0.00557011795543906,0.0037997317836388
"998","CS_IMM24","CS_IMM","IGHV1-42",17,17,0.00765076507650765,0.00512511305396443
"999","CS_IMM25","CS_IMM","IGHV8-12",17,17,0.0042681395932714,0.00261659227335693
"1000","CS_IMM26","CS_IMM","IGHV14-1",10,17,0.00173913043478261,0.00162213740458015
"1001","CS_IMM26","CS_IMM","IGHV1S53",15,17,0.00260869565217391,0.00162213740458015
"1002","RA_CTRL3","RA_CTRL","IGHV2-9",16,17,0.00332502078137988,0.00235718247365502
"1003","RA_IMM4","RA_IMM","IGHV1-54",15,17,0.00152594099694812,0.000988889535221918
"1004","RA_IMM4","RA_IMM","IGHV2-5",10,17,0.00101729399796541,0.000988889535221918
"1005","RA_IMM5","RA_IMM","IGHV5-16",17,17,0.0026813880126183,0.00131915884224412
"1006","CS_CTRL14","CS_CTRL","IGHV1-11",15,16,0.00542888165038002,0.00409626216077829
"1007","CS_CTRL15","CS_CTRL","IGHV1-64",16,16,0.00751173708920188,0.00341734301580521
"1008","CS_CTRL15","CS_CTRL","IGHV1-81",16,16,0.00751173708920188,0.00341734301580521
"1009","CS_CTRL15","CS_CTRL","IGHV7-1",11,16,0.00516431924882629,0.00341734301580521
"1010","CS_CTRL16","CS_CTRL","IGHV1-58",13,16,0.00400616332819723,0.00317397341797262
"1011","CS_CTRL16","CS_CTRL","IGHV2-2",11,16,0.00338983050847458,0.00317397341797262
"1012","CS_IMM18","CS_IMM","IGHV1-5",13,16,0.00544844928751048,0.00486914181375533
"1013","CS_IMM18","CS_IMM","IGHV8-8",15,16,0.00628667225481978,0.00486914181375533
"1014","CS_IMM21","CS_IMM","IGHV12-3",16,16,0.0027294438758103,0.00177128307317613
"1015","CS_IMM21","CS_IMM","IGHV1S53",16,16,0.0027294438758103,0.00177128307317613
"1016","CS_IMM21","CS_IMM","IGHV8-2",16,16,0.0027294438758103,0.00177128307317613
"1017","CS_IMM22","CS_IMM","IGHV1-52",16,16,0.00284495021337127,0.00170721297481861
"1018","CS_IMM22","CS_IMM","IGHV8-8",16,16,0.00284495021337127,0.00170721297481861
"1019","CS_IMM24","CS_IMM","IGHV1-19",14,16,0.0063006300630063,0.00482363581549593
"1020","CS_IMM26","CS_IMM","IGHV1-69",16,16,0.00278260869565217,0.00152671755725191
"1021","RA_CTRL1","RA_CTRL","IGHV6-7",15,16,0.00481386392811297,0.00359955005624297
"1022","RA_CTRL1","RA_CTRL","IGHV8-8",15,16,0.00481386392811297,0.00359955005624297
"1023","RA_CTRL2","RA_CTRL","IGHV1-80",15,16,0.00305064063453325,0.00163215342242171
"1024","RA_CTRL2","RA_CTRL","IGHV5-16",12,16,0.0024405125076266,0.00163215342242171
"1025","RA_CTRL3","RA_CTRL","IGHV2-2",15,16,0.00311720698254364,0.00221852468108708
"1026","RA_IMM11","RA_IMM","IGHV9-1",11,16,0.00245316681534344,0.00214736277009797
"1027","RA_IMM11","RA_IMM","IGHV9-3",14,16,0.00312221231043711,0.00214736277009797
"1028","RA_IMM12","RA_IMM","IGHV1-61",16,16,0.00389483933787731,0.00266800066700017
"1029","RA_IMM6","RA_IMM","IGHV5-16",11,16,0.00151452567809445,0.00123095860901677
"1030","RA_IMM7","RA_IMM","IGHV1-18",16,16,0.0264900662251656,0.0263591433278418
"1031","RA_IMM8","RA_IMM","IGHV1-63",15,16,0.00208565072302558,0.00120509151163666
"1032","RA_IMM8","RA_IMM","IGHV1-74",14,16,0.00194660734149054,0.00120509151163666
"1033","RA_IMM9","RA_IMM","IGHV1-34",15,16,0.001220703125,0.000778020909311938
"1034","RA_IMM9","RA_IMM","IGHV1-4",16,16,0.00130208333333333,0.000778020909311938
"1035","RA_IMM9","RA_IMM","IGHV9-2",14,16,0.00113932291666667,0.000778020909311938
"1036","CS_CTRL14","CS_CTRL","IGHV1-69",14,15,0.00506695620702135,0.00384024577572965
"1037","CS_CTRL14","CS_CTRL","IGHV13-2",13,15,0.00470503076366269,0.00384024577572965
"1038","CS_CTRL14","CS_CTRL","IGHV5-17",14,15,0.00506695620702135,0.00384024577572965
"1039","CS_CTRL14","CS_CTRL","IGHV8-12",15,15,0.00542888165038002,0.00384024577572965
"1040","CS_CTRL15","CS_CTRL","IGHV1-63",14,15,0.00657276995305164,0.00320375907731739
"1041","CS_CTRL15","CS_CTRL","IGHV2-5",15,15,0.00704225352112676,0.00320375907731739
"1042","CS_CTRL15","CS_CTRL","IGHV8-8-1",12,15,0.00563380281690141,0.00320375907731739
"1043","CS_CTRL16","CS_CTRL","IGHV1-31",12,15,0.0036979969183359,0.00297560007934934
"1044","CS_CTRL16","CS_CTRL","IGHV1-82",15,15,0.00462249614791988,0.00297560007934934
"1045","CS_CTRL16","CS_CTRL","IGHV2-7",15,15,0.00462249614791988,0.00297560007934934
"1046","CS_CTRL16","CS_CTRL","IGHV3-5",13,15,0.00400616332819723,0.00297560007934934
"1047","CS_IMM18","CS_IMM","IGHV6-7",14,15,0.00586756077116513,0.00456482045039562
"1048","CS_IMM19","CS_IMM","IGHV5-6",9,15,0.00326323422770123,0.00423011844331641
"1049","CS_IMM21","CS_IMM","IGHV1-66",15,15,0.00255885363357216,0.00166057788110262
"1050","CS_IMM21","CS_IMM","IGHV2-5",15,15,0.00255885363357216,0.00166057788110262
"1051","CS_IMM23","CS_IMM","IGHV1-15",15,15,0.00491480996068152,0.00335270451497541
"1052","CS_IMM23","CS_IMM","IGHV5-6",15,15,0.00491480996068152,0.00335270451497541
"1053","CS_IMM23","CS_IMM","IGHV6-6",15,15,0.00491480996068152,0.00335270451497541
"1054","CS_IMM25","CS_IMM","IGHV1-74",14,15,0.00351493848857645,0.00230875788825612
"1055","CS_IMM26","CS_IMM","IGHV13-2",12,15,0.00208695652173913,0.00143129770992366
