"","SAMPLE","Q","D","D_SD","D_LOWER","D_UPPER","E","E_LOWER","E_UPPER"
"52","RA_IMM4",0,161.57,7.7754348389446,146.330427751531,176.809572248469,1,0.905678206050199,1.0943217939498
"53","RA_IMM4",1,52.3830259973357,4.30690591797581,43.9416455133007,60.8244064813707,0.324212576575699,0.271966612077122,0.376458541074275
"54","RA_IMM4",2,14.2241020925517,1.62675719836926,11.0357165721567,17.4124876129468,0.0880367772021522,0.0683030053361188,0.107770549068186
"55","RA_IMM5",0,204.66,8.42909533943032,188.139276712462,221.180723287538,1,0.919277224237575,1.08072277576242
"56","RA_IMM5",1,81.8494108000419,6.21758103137221,69.663175907593,94.0356456924908,0.39992871494206,0.340384911109122,0.459472518774997
"57","RA_IMM5",2,19.6282359246164,2.54176486835217,14.646468325477,24.6100035237559,0.0959065568485119,0.0715648799251295,0.120248233771894
"58","RA_IMM6",0,169.525,7.98046452722846,153.883576946733,185.166423053267,1,0.907733826554979,1.09226617344502
"59","RA_IMM6",1,70.4060078756633,4.72459405299147,61.1459736902279,79.6660420610987,0.415313422065556,0.360690008495667,0.469936835635444
"60","RA_IMM6",2,29.7947108740267,2.89975406359257,24.1112973453616,35.4781244026918,0.175754082725419,0.142228564196205,0.209279601254634
"61","RA_IMM7",0,288.81,10.1036786176145,269.007153798108,308.612846201892,1,0.9314329621485,1.0685670378515
"62","RA_IMM7",1,164.464814037945,10.8727782013824,143.154560351344,185.775067724547,0.569456784868756,0.495670372741053,0.643243196996458
"63","RA_IMM7",2,75.0316472325809,9.0464043882534,57.3010204420191,92.7622740231426,0.25979587698688,0.198403865662612,0.321187888311148
"64","RA_IMM8",0,180.325,7.85799691892848,164.923609048273,195.726390951727,1,0.914590927759731,1.08540907224027
"65","RA_IMM8",1,74.4884461574492,5.01357780845564,64.6620142191869,84.3148780957115,0.413078864036873,0.358585965446759,0.467571762626988
"66","RA_IMM8",2,32.7737622910272,2.78005465909541,27.3249552841475,38.222569297907,0.181748300518659,0.151531708216539,0.211964892820779
"67","RA_IMM9",0,213.29,9.42550266577399,194.816354238897,231.763645761103,1,0.913387192268258,1.08661280773174
"68","RA_IMM9",1,93.7896170523122,7.02286151772006,80.0250614091686,107.554172695456,0.439728149713124,0.375193686573063,0.504262612853185
"69","RA_IMM9",2,32.1998496611198,3.87500525114066,24.6049789289805,39.7947203932591,0.150967460551924,0.115359271081534,0.186575650022313
